benchmark,family_id,variant_count,model,model_slug,input_tokens,reasoning_tokens,answer_tokens,score,score_raw,total_output_tokens
critpt,gpt-oss-20b,2,gpt-oss-20B(low),gpt-oss-20b-low,204121.3544168,55869.39637027155,80009.24921292845,0.0,0.0,135878.6455832
critpt,gpt-oss-20b,2,gpt-oss-20B(high),gpt-oss-20b,241292.42261201373,2541351.244173598,117356.33321438845,1.4,0.0139999999999999,2658707.5773879862
critpt,grok-4-1-fast,2,Grok 4.1 Fast,grok-4-1-fast,265244.46475405456,0.0,144755.53524594542,0.0,0.0,144755.53524594542
critpt,grok-4-1-fast,2,Grok 4.1Fast,grok-4-1-fast,201003.7830261262,2129024.803187183,69971.41378669065,2.9,0.0289999999999999,2198996.216973874
critpt,grok-4-20,2,Grok 4.20 0309 v2,grok-4-20-non-reasoning,139281.9973117266,0.0,750718.0026882734,0.3,0.3,750718.0026882734
critpt,grok-4-20,2,Grok 4.200309 v2,grok-4-20-non-reasoning,138828.14775634377,4412352.719172839,348819.13307081687,6.6,0.066,4761171.852243656
critpt,grok-4-20-0309,2,Grok 4.20 0309,grok-4-20-0309-non-reasoning,139058.86374318108,0.0,420941.1362568189,0.0,0.0,420941.1362568189
critpt,grok-4-20-0309,2,Grok 4.200309,grok-4-20-0309-non-reasoning,139698.9557270582,3863271.750872634,297029.29340030794,6.0,0.06,4160301.044272942
critpt,k2-v2,3,K2-V2 (low),k2-v2-low,351900.26461673743,23756.64396813114,234343.0914151314,0.0,0.0,258099.7353832625
critpt,k2-v2,3,K2-V2(medium),k2-v2-medium,284886.0856522288,181064.05227522264,164049.8620725486,0.0,0.0,345113.9143477712
critpt,k2-v2,3,K2-V2 (high),k2-v2,329379.1852247985,2537357.3101926725,233263.50458252893,0.0,0.0,2770620.814775201
critpt,kimi-k2,2,Kimi K2,kimi-k2,261571.0663496496,0.0,168428.93365035043,0.0,0.0,168428.93365035043
critpt,kimi-k2,2,Kimi K2Thinking,kimi-k2-thinking,268965.64213142754,3383138.210426196,147896.14744237662,2.6,0.026,3531034.3578685727
critpt,llama-3-3-nemotron-super-49b,2,Llama 3.3Nemotron Super49B,llama-3-3-nemotron-super-49b,242812.81384529063,0.0,127187.18615470936,0.0,0.0,127187.18615470936
critpt,llama-3-3-nemotron-super-49b,2,Llama 3.3NemotronSuper 49B,llama-3-3-nemotron-super-49b,191212.9912761027,914104.7292282477,94682.27949564968,0.0,0.0,1008787.0087238974
critpt,llama-nemotron-super-49b-v1-5,2,Llama NemotronSuper 49B v1.5,llama-nemotron-super-49b-v1-5-reasoning,224354.3566255482,0.0,105645.6433744518,0.0,0.0,105645.6433744518
critpt,llama-nemotron-super-49b-v1-5,2,LlamaNemotronSuper 49B v1.5,llama-nemotron-super-49b-v1-5-reasoning,189232.3632538065,1135774.040110387,74993.5966358066,0.0,0.0,1210767.6367461935
critpt,mistral-small-4,2,Mistral Small 4,mistral-small-4,139515.9691055207,0.0,320484.0308944793,0.3,0.3,320484.0308944793
critpt,mistral-small-4,2,MistralSmall 4,mistral-small-4,140156.28209481397,4041252.182301221,118591.53560396454,0.3,0.3,4159843.7179051857
critpt,nova-2-0-lite-reasoning,2,Nova 2.0Lite (low),nova-2-0-lite-reasoning-low,276836.6761501408,250908.2167071632,152255.1071426961,0.0,0.0,403163.3238498593
critpt,nova-2-0-lite-reasoning,2,Nova 2.0Lite(medium),nova-2-0-lite-reasoning-medium,298834.0920131591,1628727.6499047242,172438.25808211672,0.0,0.0,1801165.907986841
critpt,nova-2-0-omni-reasoning,2,Nova 2.0Omni (low),nova-2-0-omni-reasoning-low,286532.55487541447,233013.4084457749,210454.0366788106,0.0,0.0,443467.44512458553
critpt,nova-2-0-omni-reasoning,2,Nova 2.0Omni(medium),nova-2-0-omni-reasoning-medium,302483.74788015103,992450.0266943068,205066.22542554224,0.0,0.0,1197516.252119849
critpt,nova-2-0-pro-reasoning,2,Nova 2.0 ProPreview(low),nova-2-0-pro-reasoning-low,323429.07836211944,85739.3543956098,200831.5672422708,0.0,0.0,286570.9216378806
critpt,nova-2-0-pro-reasoning,2,Nova 2.0 ProPreview(medium),nova-2-0-pro-reasoning-medium,272929.3237381194,881473.8400340407,145596.83622783978,0.0,0.0,1027070.6762618806
critpt,nvidia-nemotron-3-nano-30b-a3b,2,NVIDIA Nemotron 3Nano,nvidia-nemotron-3-nano-30b-a3b-reasoning,237829.1312875048,0.0,112170.86871249526,0.0,0.0,112170.86871249526
critpt,nvidia-nemotron-3-nano-30b-a3b,2,NVIDIANemotron 3Nano,nvidia-nemotron-3-nano-30b-a3b-reasoning,219814.23246184364,2984146.264140284,96039.50339787196,0.9,0.9,3080185.767538156
critpt,nvidia-nemotron-nano-12b-v2-vl,2,NVIDIA NemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,225169.5783416273,0.0,104830.42165837264,0.0,0.0,104830.42165837264
critpt,nvidia-nemotron-nano-12b-v2-vl,2,NVIDIANemotronNano 12B v2 VL,nvidia-nemotron-nano-12b-v2-vl-reasoning,300625.4653702979,2107334.639541517,192039.8950881848,0.0,0.0,2299374.5346297016
